;Year;IsWinner;track_id
79;1971;Winner;12q3V8ShACq2PSWINMc2rC
80;1971;Nominee;5YwgJ6lpZ3SiAQwBEpjqey
81;1971;Nominee;6rtIf2peTj5KMl7o6G0ldg
82;1971;Nominee;2XWmbwp9FBAaFcSE9BLQzc
83;1972;Nominee;6MrILERJLA3Jcq0E9poZsp
84;1972;Winner;0SxFyA4FqmEQqZVuAlg8lf
85;1972;Nominee;57KfogSy3eKuk5JHLKwCJv
86;1972;Nominee;1fDsrQ23eTAVFElUMaf38X
87;1972;Nominee;6vuEG9sZtC4W2zT64f7zLF
88;1972;Nominee;140aVXe6bCu6ZP1blwp8L4
89;1973;Nominee;2DnJjbjNTV9Nd5NOa1KGba
90;1973;Nominee;0n2pjCIMKwHSXoYfEbYMfX
91;1973;Nominee;6d7Jz2np6jtNaZv1DiWfJs
92;1973;Nominee;1O0xeZrBDbq7HPREdmYUYK
93;1973;Nominee;7JtT1HIVoME3xvRGYjxJcb
94;1974;Nominee;5VBcEJ4mtXTmVEJtc7hx2g
95;1974;Winner;2kCIwSz0JoYQPrT4Ykr1MZ
97;1974;Nominee;7gkboYtvhuXNS4EUwmFPcw
98;1974;Nominee;11FcfHd3SOmmrWJPGe7Y30
99;1974;Nominee;26WupilYCvGn1OEX2CqKjN
100;1974;Winner;1vZTgn4JXWMahR8r99ug5H
101;1974;Nominee;2kCIwSz0JoYQPrT4Ykr1MZ
102;1975;Nominee;6iXQrhhgBisdfvS34EMTZ3
103;1975;Nominee;5lQKRR3MdJLtAwNBiT8Cq0
104;1975;Winner;4pCNJwixy2ImFncaPY2yE2
105;1975;Nominee;7wJpqjqk8QbHpCakY1ZacY
106;1975;Winner;3evTbfCtMxbUwTQIn7QOcG
107;1975;Nominee;4pCNJwixy2ImFncaPY2yE2
108;1975;Nominee;6DRjlgLTQPZ2dQIRIs7b0U
109;1976;Winner;7uhOlFq30tYkUZ70JwbRre
110;1976;Nominee;0KMGxYKeUzK9wc5DZCt3HT
111;1976;Nominee;1pBAsoHy7eN9aeVCTAiKua
112;1976;Nominee;6Qb7gtV6Q4MnUjSbkFcopl
113;1976;Nominee;7uhOlFq30tYkUZ70JwbRre
114;1976;Nominee;536L9C0N7vhYdibCJx3cI2
115;1976;Winner;12FZTFRyd4RBzvKf8RB0zO
116;1976;Nominee;2x6pbpjVGjiWCcH89IK8AX
117;1977;Nominee;3dFR132gzO8jxD57R2gid3
118;1977;Winner;40riOy7x9W7GXjyGp4pjAv
119;1977;Nominee;7Jpclr7tZ6aQXjoKzWXUJV
120;1977;Nominee;3zxklD2EGecZre9MjEEvIU
121;1977;Winner;3dFR132gzO8jxD57R2gid3
122;1978;Nominee;5d4E1hgkLyb7sXr5J3InnM
123;1978;Nominee;5ubvP9oKmxLUVq506fgLhk
124;1978;Winner;49MHCPzvMLXhRjDantBMVH
125;1978;Nominee;2M7EflZCPCqqRLB9hy5MDy
126;1978;Nominee;5gOd6zDC8vhlYjqbQdJVWP
127;1978;Nominee;7qmqeHzgNQTOnl1NUgRFO4
128;1978;Nominee;4ztwMHfPZhPoruZdBbgriM
129;1979;Winner;2yBVeksU2EtrPJbTu4ZslK
130;1979;Nominee;5KqldkCunQ2rWxruMEtGh0
131;1979;Nominee;7cv28LXcjAC3GsXbUvXKbX
132;1979;Nominee;3cfnGXJ9bmiWvFqEO6ff8B
133;1979;Nominee;7wbPfd2mXbStoZZSnHNd2V
134;1979;Nominee;37oLDb3119IdKSIFQmSGRj
135;1979;Nominee;34E0Higz6fFVXlbVsn6TIW
136;1979;Nominee;3F1MiFu5a1Y3Z9dQZhLTAo
137;1979;Nominee;3cfnGXJ9bmiWvFqEO6ff8B
138;1980;Nominee;562JrM9b7jiu8LgzV62x3o
139;1980;Winner;4ogaI0XfmAunA0LyjveMSF
140;1980;Nominee;5CI1FP2Volc9wjz2MBZsGx
141;1981;Nominee;1ko2lVN0vKGUl9zrU0qSlT
142;1981;Nominee;0rt0dZ11FVsvprbarag5tk
143;1981;Winner;0odIT9B9BvOCnXfS0e4lB5
144;1981;Nominee;5fnOrhQ4KgT5irGCjIccGH
145;1981;Nominee;7tqQI7nmRAqX0g8bIYDXmF
146;1981;Nominee;1ko2lVN0vKGUl9zrU0qSlT
147;1981;Nominee;5iwyLsQ5yjnCaRrJGyAPZM
148;1981;Nominee;4w3tQBXhn5345eUXDGBWZG
149;1982;Winner;37BTh5g05cxBIRYMbw8g2T
150;1982;Nominee;2KY0QUeRY3IPuJI1gyU9BJ
151;1982;Nominee;3fVSMbeq8tY3G85yxcJwRU
152;1982;Nominee;3zmXCcrMKpGho2sTRZG1Ux
153;1982;Nominee;2xYQTU2bbg6WVAmpY1eae4
154;1982;Nominee;37BTh5g05cxBIRYMbw8g2T
155;1982;Nominee;6bzwsAtj4TqaBysLDrGiO3
156;1982;Nominee;2KH16WveTQWT6KOG9Rg6e2
157;1982;Nominee;6rbDUAZ8TsI0SXLx7w9Uoa
158;1982;Winner;2xYQTU2bbg6WVAmpY1eae4
159;1983;Nominee;0QKfiqpEU4h9ycPSzIFwYe
160;1983;Nominee;1JSTJqkT5qHq8MDJnJbRE1
161;1983;Winner;1OOtq8tRnDM8kG2gqUPjAj
162;1983;Nominee;4giIdAr7Plyu5LQzBOR4FP
163;1983;Winner;1JSTJqkT5qHq8MDJnJbRE1
164;1983;Nominee;5ChkMS8OtdzJeqyybCc9R5
165;1984;Winner;4kOfxxnW1ukZdsNbCKY9br
