"","names","IsWinner","Year","followers","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","tempo","time_signature","valence"
"106","Gimme Something Good - Ryan Adams",1,2014,560455,0.031,0.396,234893,0.785,0.00129,"11",0.181,-4.192,"0",184.081,"4",0.683
"107","Ain't It Fun - Paramore",1,2014,7803541,0.154,0.61,296520,0.893,4.41e-05,"9",0.021,-3.681,"1",104.031,"4",0.673
"108","Fever - The Black Keys",1,2014,3867868,0.00378,0.609,246307,0.674,0.000302,"9",0.129,-6.506,"0",127.541,"4",0.743
"109","Lazaretto - Jack White",1,2014,1309574,0.0046,0.381,219400,0.838,3.77e-05,"6",0.101,-6.562,"0",118.214,"4",0.581
"110","Blue Moon - Beck",1,2014,1437831,0.182,0.685,242347,0.645,0.00532,"0",0.138,-6.73,"1",119.936,"4",0.461
"111","What Kind Of Man - Florence + The Machine",1,2015,6399322,0.0229,0.313,216176,0.635,0,"11",0.129,-4.676,"0",114.776,"4",0.224
"112","Ex's & Oh's - Elle King",1,2015,558167,0.0183,0.612,202173,0.921,0,"7",0.0576,-2.882,"1",139.988,"4",0.446
"113","Don't Wanna Fight - Alabama Shakes",1,2015,1589737,0.24,0.618,232547,0.919,0.0886,"10",0.109,-3.291,"0",100.31,"4",0.563
"114","Hold Back The River - James Bay",1,2015,3902405,0.0526,0.715,238747,0.715,0,"5",0.0936,-7.364,"1",134.923,"4",0.506
"115","Lydia - Highly Suspect",1,2015,568507,0.00933,0.417,242560,0.706,0.000572,"6",0.474,-4.652,"0",127.884,"4",0.512
"116","★ - David Bowie",1,2016,9488798,0.208,0.364,597933,0.525,0.0605,"6",0.183,-9.203,"1",98.042,"4",0.122
"117","My Name Is Human - Highly Suspect",1,2016,568507,5.71e-05,0.515,258773,0.698,8.64e-05,"2",0.0827,-5.572,"0",139.96,"4",0.194
"118","Burn the Witch - Radiohead",1,2016,8278013,0.303,0.54,220609,0.847,0.272,"11",0.109,-6.52,"1",148.936,"4",0.62
"119","Heathens - Twenty One Pilots",1,2016,23703309,0.0841,0.732,195920,0.396,3.58e-05,"4",0.105,-9.348,"0",90.024,"4",0.548
