"","IsWinner","track_id","artist_id","track_name","year","artist_name","genres","followers","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","tempo","time_signature","valence"
"34","Winner","1bYItjcPRtxZs6Ir71O5RB","2lolQgalUvZDfp5vvVtTYV","(I Left My Heart) In San Francisco",1962,"Tony Bennett","adult standards",805884,0.955,0.313,170960,0.078,4.48e-06,0,0.169,-17.583,1,128.065,4,0.125
"35","Nominee","6N32znCabSSaMDB8d3jrS3","2VSItkPmLJg1zckWeMdT01","Fly Me to the Moon",2014,"Joe Harnell","space age pop",1144,0.583,0.529,145800,0.674,0.325,0,0.173,-8.675,0,87.033,4,0.867
"36","Nominee","2tcfbkABIwzpepPyaFsYF4","0FMucZsEnCxs5pqBjHjIc8","Desafinado",1964,"Stan Getz","bebop",380252,0.912,0.501,248013,0.186,0.00264,10,0.116,-17.522,1,144.081,4,0.421
"37","Nominee","2tcfbkABIwzpepPyaFsYF4","77ZUbcdoU5KCPHNUl8bgQy","Desafinado",1964,"João Gilberto","bossa nova",546239,0.912,0.501,248013,0.186,0.00264,10,0.116,-17.522,1,144.081,4,0.421
"38","Winner","2ChoPgCQ88DGEDFBwFgZlo","1NAWG3AngjBXyKbmPaz92D","What Kind of Fool Am I",1962,"Sammy Davis Jr.","adult standards",486144,0.96,0.231,202617,0.31,0.000134,11,0.383,-8.959,0,94.009,4,0.161
"39","Nominee","1bYItjcPRtxZs6Ir71O5RB","2lolQgalUvZDfp5vvVtTYV","(I Left My Heart) In San Francisco",1962,"Tony Bennett","adult standards",805884,0.955,0.313,170960,0.078,4.48e-06,0,0.169,-17.583,1,128.065,4,0.125
"40","Nominee","6mXqStzmjKPA0enSUQCBOv","090VebphoycdEyH165iMqc","As Long as He Needs Me",1991,"Shirley Bassey","adult standards",259909,0.964,0.294,182000,0.147,0,5,0.266,-14.271,1,103.232,3,0.166
"41","Nominee","5kb8hqeLEXspWJZ0LrJPqE","7jmTilWYlKOuavFfmQAcu6","Happy Days Are Here Again",1963,"Barbra Streisand","adult standards",1336667,0.887,0.363,183973,0.171,2.55e-06,8,0.181,-14.248,1,73.734,3,0.199
"42","Nominee","4ns69146GVKS3AwM922kTE","6IXxyuP3QA8yla9rF1on6b","Dominique",2006,"The Singing Nun (Soeur Sourire)","belgian singer-songwriter",3073,0.955,0.75,174947,0.333,0,0,0.106,-8.135,0,135.913,4,0.651
"43","Winner","4qGfJb2KByjvzrwo8HNibg","0FMucZsEnCxs5pqBjHjIc8","The Girl From Ipanema - Single Version",1964,"Stan Getz","bebop",380252,0.943,0.696,167533,0.17,0.00154,5,0.106,-16.603,0,130.967,4,0.523
"44","Winner","4qGfJb2KByjvzrwo8HNibg","77ZUbcdoU5KCPHNUl8bgQy","The Girl From Ipanema - Single Version",1964,"João Gilberto","bossa nova",546239,0.943,0.696,167533,0.17,0.00154,5,0.106,-16.603,0,130.967,4,0.523
"45","Winner","4qGfJb2KByjvzrwo8HNibg","5rX2c1zow6hCph8PnnU3kF","The Girl From Ipanema - Single Version",1964,"Astrud Gilberto","bossa nova",214891,0.943,0.696,167533,0.17,0.00154,5,0.106,-16.603,0,130.967,4,0.523
"46","Winner","4qGfJb2KByjvzrwo8HNibg","3pO5VjZ4wOHCMBXOvbMISG","The Girl From Ipanema - Single Version",1964,"Antônio Carlos Jobim","bossa nova",605337,0.943,0.696,167533,0.17,0.00154,5,0.106,-16.603,0,130.967,4,0.523
"47","Nominee","4pbG9SUmWIvsROVLF0zF9s","3WrFJ7ztbogyGnTHbHJFl2","I Want To Hold Your Hand - Remastered 2015",2000,"The Beatles","beatlesque",25377946,0.386,0.49,145747,0.715,0,7,0.311,-5.549,1,130.726,4,0.866
"48","Nominee","63kd4m3VFxcJjPVVtbVNAu","19eLuQmk9aCobbVDHc6eek","Hello, Dolly!",1964,"Louis Armstrong","adult standards",2672072,0.842,0,147000,0.405,0.00114,0,0.198,-9.935,1,0,0,0
"49","Nominee","0mVTT4eqN3TbcieL6ShnDH","6nKqt1nbSBEq3iUXD1Xgz8","Downtown",1996,"Petula Clark","adult standards",301973,0.81,0.481,185400,0.589,0,4,0.249,-10.471,1,117.7,4,0.666
"50","Nominee","5VY8vqBEzpk2aWLB17inwk","7jmTilWYlKOuavFfmQAcu6","Who Can I Turn To (When Nobody Needs Me) (with Anthony Newley)",2016,"Barbra Streisand","adult standards",1336667,0.954,0.23,262747,0.318,0.000551,4,0.152,-10.029,0,169.099,1,0.0836
"51","Nominee","5VY8vqBEzpk2aWLB17inwk","5JXvJb6vQkSCFGCh4FCKOI","Who Can I Turn To (When Nobody Needs Me) (with Anthony Newley)",2016,"Anthony Newley","",8670,0.954,0.23,262747,0.318,0.000551,4,0.152,-10.029,0,169.099,1,0.0836
"52","Winner","63kd4m3VFxcJjPVVtbVNAu","19eLuQmk9aCobbVDHc6eek","Hello, Dolly!",1964,"Louis Armstrong","adult standards",2672072,0.842,0,147000,0.405,0.00114,0,0.198,-9.935,1,0,0,0
"53","Nominee","2Xu8Mxy1getoKERbRjHQ4Z","2EExdpjU4SK3xnJHO5paJf","Dear Heart",1965,"Henry Mancini","adult standards",171877,0.988,0.247,161360,0.258,2.57e-05,7,0.232,-10.024,1,128.742,5,0.215
